dataset,attr_only,degree_only,full,no_degree_struct,struct_only,full_minus_attr,full_minus_struct,struct_minus_attr
Bitcoin_Alpha,0.5,0.8318069402581343,1.0,1.0,1.0,0.5,0.0,0.5
Bitcoin_OTC,0.5,0.8766184920215746,0.999943982970823,0.9998719610761672,0.999943982970823,0.499943982970823,0.0,0.499943982970823
FraudAmazon,0.9861122836639933,0.815115379203602,0.9873610524834671,0.765966652596032,0.8149430139299283,0.0012487688194737778,0.17241803855353877,-0.171169269734065
FraudYelp,0.9374299680299426,0.5797869799992201,0.9364458653358806,0.5403577137510234,0.5799069651838278,-0.0009841026940620168,0.3565389001520528,-0.3575230028461148
