file,path,suffix,size_mb
ts_kkt_47_11__ts_features.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\cache\ts_kkt_47_11__ts_features.csv,.csv,2963.5
ts_kkt_47_19__ts_features.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\cache\ts_kkt_47_19__ts_features.csv,.csv,1324.71
