avg_cash__length,avg_ecash__length,avg_price_item__length,avg_price_piece__length,avg_sum__length,cash_fraction__length,ecash_fraction__length,max_sum__length,min_sum__length,n_bills__length,n_cash_bills__length,n_ecash_bills__length,n_items__length,total_cash__sum_values,total_cash__standard_deviation,total_ecash__sum_values,total_ecash__standard_deviation,total_items__length,total_other__length,total_sum__sum_values,total_sum__standard_deviation,total_sum__length,total_sum__cash_fraction,total_sum__ecash_fraction
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,0.0,9287451.320000002,13273.793008510416,92.0,92.0,9287451.320000002,13273.793008510416,92.0,0.0,1.0
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,2963425.0,9953.369940116549,11222434.4,31223.11764082681,92.0,92.0,14254359.399999997,38163.83257521399,92.0,0.2078960489799352,0.7872984036027605
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,0.0,2906347.62,11658.7103331227,92.0,92.0,2955896.809999999,11695.388093920306,92.0,0.0,0.9832371719363237
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,0.0,886207.41,14540.801082455817,92.0,92.0,886207.41,14540.801082455817,92.0,0.0,1.0
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,71076.04,3362.482692866823,433268.42,17348.93933279902,92.0,92.0,504344.46,20195.074438464675,92.0,0.1409275716045339,0.859072428395466
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,355692.55000000005,4792.488121361814,962749.5099999998,12617.265305216184,92.0,92.0,1318442.06,16549.026970524934,92.0,0.2697824658294048,0.7302175341705951
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,416004.4,43135.0983828192,6013361.6,100337.05153280289,92.0,92.0,6483358.09,124856.16398577078,92.0,0.0641649580703632,0.9275072449376308
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,3557086.0,13902.46896510164,4705184.0,15440.147934312654,92.0,92.0,8262270.0,26325.964350116607,92.0,0.430521636305761,0.569478363694239
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,3882187.470000001,19706.981760514496,11186998.610000003,49604.205672964345,92.0,92.0,15070786.079999994,67321.24786116139,92.0,0.2575968797773554,0.7422969545593874
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,1511901.5899999994,7533.552454046547,5382192.07,21905.960116648374,92.0,92.0,6896093.660000001,28324.822608010545,92.0,0.2192402923367487,0.7804696884003747
