trade_store_hash,date,kkt_id,total_sum,max_sum,min_sum,total_cash,total_ecash,n_bills,n_cash_bills,n_ecash_bills,n_items,total_items,trade_object_hash,total_other,cash_fraction,ecash_fraction,avg_sum,avg_price_item,avg_price_piece,avg_cash,avg_ecash
000e05b8b0994380a5804b14259fc46b,2023-10-01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,000e05b8b0994380a5804b14259fc46b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000e05b8b0994380a5804b14259fc46b,2023-10-02,1,37210.5,28216.5,680.0,37210.5,0.0,3.0,3.0,0.0,40.0,112.0,000e05b8b0994380a5804b14259fc46b,0.0,1.0,0.0,12403.5,930.2625,332.2366071428572,12403.5,0.0
000e05b8b0994380a5804b14259fc46b,2023-10-03,1,45675.5,23751.5,113.0,45675.5,0.0,6.0,6.0,0.0,38.0,89.0,000e05b8b0994380a5804b14259fc46b,0.0,1.0,0.0,7612.583333333333,1201.9868421052631,513.2078651685393,7612.583333333333,0.0
000e05b8b0994380a5804b14259fc46b,2023-10-04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,000e05b8b0994380a5804b14259fc46b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000e05b8b0994380a5804b14259fc46b,2023-10-05,1,50702.0,24800.0,5718.0,50702.0,0.0,4.0,4.0,0.0,48.0,184.0,000e05b8b0994380a5804b14259fc46b,0.0,1.0,0.0,12675.5,1056.2916666666667,275.55434782608694,12675.5,0.0
000e05b8b0994380a5804b14259fc46b,2023-10-06,1,4366.0,4006.0,360.0,4366.0,0.0,2.0,2.0,0.0,5.0,5.0,000e05b8b0994380a5804b14259fc46b,0.0,1.0,0.0,2183.0,873.2,873.2,2183.0,0.0
000e05b8b0994380a5804b14259fc46b,2023-10-07,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,000e05b8b0994380a5804b14259fc46b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000e05b8b0994380a5804b14259fc46b,2023-10-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,000e05b8b0994380a5804b14259fc46b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000e05b8b0994380a5804b14259fc46b,2023-10-09,1,7939.0,7348.0,591.0,7939.0,0.0,2.0,2.0,0.0,4.0,8.0,000e05b8b0994380a5804b14259fc46b,0.0,1.0,0.0,3969.5,1984.75,992.375,3969.5,0.0
000e05b8b0994380a5804b14259fc46b,2023-10-10,1,33907.0,26545.0,190.0,33907.0,0.0,3.0,3.0,0.0,22.0,43.0,000e05b8b0994380a5804b14259fc46b,0.0,1.0,0.0,11302.333333333334,1541.2272727272727,788.5348837209302,11302.333333333334,0.0
