dataset,regime,ablation,model,status,error,n_nodes,n_edges_perturbed,n_features,n_train,n_test,n_anomalies_total,n_anomalies_train,n_anomalies_test,runtime_sec,json_file,roc_auc,pr_auc,k_at_pos,hits_at_pos,precision_at_k_at_pos,recall_at_k_at_pos,hits_at_k_at_pos,k_at_1pct,hits_at_1pct,precision_at_k_at_1pct,recall_at_k_at_1pct,hits_at_k_at_1pct,k_at_5pct,hits_at_5pct,precision_at_k_at_5pct,recall_at_k_at_5pct,hits_at_k_at_5pct,k_at_10pct,hits_at_10pct,precision_at_k_at_10pct,recall_at_k_at_10pct,hits_at_k_at_10pct
FraudAmazon,attr_dropout_25,full,GradientBoosting,ok,,11944,9557648,48,6910,1729,821,637,184,7.374999046325684,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__full__GradientBoosting.json,0.9875316589278176,0.9295361207692737,184,162,0.8804347826086957,0.8804347826086957,1.0,17,17,1.0,0.09239130434782608,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,155,0.9011627906976745,0.842391304347826,1.0
FraudAmazon,attr_dropout_25,full,IsolationForest,ok,,11944,9557648,48,6910,1729,821,637,184,0.8409998416900635,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__full__IsolationForest.json,0.8048789925425636,0.2585629999044334,184,57,0.30978260869565216,0.30978260869565216,1.0,17,0,0.0,0.0,0.0,86,19,0.22093023255813954,0.10326086956521739,1.0,172,51,0.29651162790697677,0.27717391304347827,1.0
FraudAmazon,attr_dropout_25,full,LogisticRegression,ok,,11944,9557648,48,6910,1729,821,637,184,0.1009976863861084,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__full__LogisticRegression.json,0.9759849444209934,0.8850409782760253,184,156,0.8478260869565217,0.8478260869565217,1.0,17,16,0.9411764705882353,0.08695652173913043,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,151,0.877906976744186,0.8206521739130435,1.0
FraudAmazon,attr_dropout_25,full,RandomForest,ok,,11944,9557648,48,6910,1729,821,637,184,1.7079963684082031,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__full__RandomForest.json,0.9770842127479948,0.9196611148308407,184,159,0.8641304347826086,0.8641304347826086,1.0,17,17,1.0,0.09239130434782608,1.0,86,85,0.9883720930232558,0.46195652173913043,1.0,172,152,0.8837209302325582,0.8260869565217391,1.0
FraudAmazon,attr_dropout_25,no_degree_struct,ExtraTrees,ok,,11944,9557648,14,6910,1729,821,637,184,0.7649972438812256,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__no_degree_struct__ExtraTrees.json,0.729439285211763,0.22583060344786282,184,51,0.27717391304347827,0.27717391304347827,1.0,17,4,0.23529411764705882,0.021739130434782608,1.0,86,24,0.27906976744186046,0.13043478260869565,1.0,172,50,0.29069767441860467,0.2717391304347826,1.0
FraudAmazon,attr_dropout_25,no_degree_struct,GradientBoosting,ok,,11944,9557648,14,6910,1729,821,637,184,2.777001142501831,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__no_degree_struct__GradientBoosting.json,0.7705554383002673,0.2774076437287478,184,59,0.32065217391304346,0.32065217391304346,1.0,17,8,0.47058823529411764,0.043478260869565216,1.0,86,31,0.36046511627906974,0.16847826086956522,1.0,172,55,0.31976744186046513,0.29891304347826086,1.0
FraudAmazon,attr_dropout_25,no_degree_struct,IsolationForest,ok,,11944,9557648,14,6910,1729,821,637,184,0.7869987487792969,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__no_degree_struct__IsolationForest.json,0.43192451104544816,0.08776226168411529,184,6,0.03260869565217391,0.03260869565217391,1.0,17,0,0.0,0.0,0.0,86,2,0.023255813953488372,0.010869565217391304,1.0,172,6,0.03488372093023256,0.03260869565217391,1.0
FraudAmazon,attr_dropout_25,no_degree_struct,LogisticRegression,ok,,11944,9557648,14,6910,1729,821,637,184,0.041985273361206055,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__no_degree_struct__LogisticRegression.json,0.7648462783171521,0.24869245257612874,184,55,0.29891304347826086,0.29891304347826086,1.0,17,6,0.35294117647058826,0.03260869565217391,1.0,86,23,0.26744186046511625,0.125,1.0,172,49,0.28488372093023256,0.266304347826087,1.0
FraudAmazon,attr_dropout_25,no_degree_struct,RandomForest,ok,,11944,9557648,14,6910,1729,821,637,184,1.5279991626739502,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__no_degree_struct__RandomForest.json,0.7348723089911355,0.24061234790597769,184,57,0.30978260869565216,0.30978260869565216,1.0,17,3,0.17647058823529413,0.016304347826086956,1.0,86,26,0.3023255813953488,0.14130434782608695,1.0,172,53,0.3081395348837209,0.28804347826086957,1.0
FraudAmazon,attr_dropout_25,struct_only,ExtraTrees,ok,,11944,9557648,23,6910,1729,821,637,184,0.8570034503936768,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__struct_only__ExtraTrees.json,0.7868844097368791,0.35350604750826586,184,73,0.3967391304347826,0.3967391304347826,1.0,17,9,0.5294117647058824,0.04891304347826087,1.0,86,40,0.46511627906976744,0.21739130434782608,1.0,172,70,0.4069767441860465,0.3804347826086957,1.0
