dataset,regime,ablation,model,status,error,n_nodes,n_edges_perturbed,n_features,n_train,n_test,n_anomalies_total,n_anomalies_train,n_anomalies_test,runtime_sec,json_file,roc_auc,pr_auc,k_at_pos,hits_at_pos,precision_at_k_at_pos,recall_at_k_at_pos,hits_at_k_at_pos,k_at_1pct,hits_at_1pct,precision_at_k_at_1pct,recall_at_k_at_1pct,hits_at_k_at_1pct,k_at_5pct,hits_at_5pct,precision_at_k_at_5pct,recall_at_k_at_5pct,hits_at_k_at_5pct,k_at_10pct,hits_at_10pct,precision_at_k_at_10pct,recall_at_k_at_10pct,hits_at_k_at_10pct
FraudAmazon,attr_dropout_50,attr_only,GradientBoosting,ok,,11944,9557648,25,6910,1729,821,637,184,1.3639976978302002,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__GradientBoosting.json,0.9867190797804981,0.9324799994922611,184,161,0.875,0.875,1.0,17,17,1.0,0.09239130434782608,1.0,86,84,0.9767441860465116,0.45652173913043476,1.0,172,155,0.9011627906976745,0.842391304347826,1.0
FraudAmazon,attr_dropout_50,attr_only,RandomForest,ok,,11944,9557648,25,6910,1729,821,637,184,1.324002742767334,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__RandomForest.json,0.9788078654847332,0.903102975329734,184,158,0.8586956521739131,0.8586956521739131,1.0,17,16,0.9411764705882353,0.08695652173913043,1.0,86,84,0.9767441860465116,0.45652173913043476,1.0,172,154,0.8953488372093024,0.8369565217391305,1.0
FraudAmazon,attr_dropout_50,full,LogisticRegression,ok,,11944,9557648,48,6910,1729,821,637,184,0.10200023651123047,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__full__LogisticRegression.json,0.9763507809202194,0.884237850999927,184,156,0.8478260869565217,0.8478260869565217,1.0,17,16,0.9411764705882353,0.08695652173913043,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,151,0.877906976744186,0.8206521739130435,1.0
FraudAmazon,attr_dropout_50,full,RandomForest,ok,,11944,9557648,48,6910,1729,821,637,184,1.703995704650879,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__full__RandomForest.json,0.9732306177008583,0.9175306695093995,184,158,0.8586956521739131,0.8586956521739131,1.0,17,17,1.0,0.09239130434782608,1.0,86,85,0.9883720930232558,0.46195652173913043,1.0,172,154,0.8953488372093024,0.8369565217391305,1.0
FraudAmazon,attr_dropout_50,attr_only,LogisticRegression,ok,,11944,9557648,25,6910,1729,821,637,184,0.07500052452087402,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__LogisticRegression.json,0.9724074855775997,0.8801114092128262,184,154,0.8369565217391305,0.8369565217391305,1.0,17,16,0.9411764705882353,0.08695652173913043,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,148,0.8604651162790697,0.8043478260869565,1.0
FraudAmazon,attr_dropout_50,attr_only,ExtraTrees,ok,,11944,9557648,25,6910,1729,821,637,184,0.7059986591339111,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__ExtraTrees.json,0.9637259040382721,0.8860813228242862,184,152,0.8260869565217391,0.8260869565217391,1.0,17,17,1.0,0.09239130434782608,1.0,86,85,0.9883720930232558,0.46195652173913043,1.0,172,145,0.8430232558139535,0.7880434782608695,1.0
FraudAmazon,attr_dropout_50,full,ExtraTrees,ok,,11944,9557648,48,6910,1729,821,637,184,0.8620026111602783,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__full__ExtraTrees.json,0.9581257914731953,0.8348502092687416,184,132,0.717391304347826,0.717391304347826,1.0,17,17,1.0,0.09239130434782608,1.0,86,84,0.9767441860465116,0.45652173913043476,1.0,172,128,0.7441860465116279,0.6956521739130435,1.0
FraudAmazon,attr_dropout_50,attr_only,IsolationForest,ok,,11944,9557648,25,6910,1729,821,637,184,0.8330011367797852,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__IsolationForest.json,0.8797593921485858,0.42716637787696365,184,86,0.4673913043478261,0.4673913043478261,1.0,17,8,0.47058823529411764,0.043478260869565216,1.0,86,46,0.5348837209302325,0.25,1.0,172,81,0.47093023255813954,0.44021739130434784,1.0
FraudAmazon,attr_dropout_50,full,IsolationForest,ok,,11944,9557648,48,6910,1729,821,637,184,0.8519995212554932,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__full__IsolationForest.json,0.8258407204164907,0.2888128225691044,184,62,0.33695652173913043,0.33695652173913043,1.0,17,0,0.0,0.0,0.0,86,21,0.2441860465116279,0.11413043478260869,1.0,172,59,0.3430232558139535,0.32065217391304346,1.0
FraudAmazon,attr_noise_10,full,GradientBoosting,ok,,11944,9557648,48,6910,1729,821,637,184,18.437504768371582,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_noise_10__full__GradientBoosting.json,0.9753939777683973,0.9067174692077634,184,155,0.842391304347826,0.842391304347826,1.0,17,17,1.0,0.09239130434782608,1.0,86,84,0.9767441860465116,0.45652173913043476,1.0,172,152,0.8837209302325582,0.8260869565217391,1.0
