stage,dataset,contamination,group,mean_jaccard,max_jaccard,min_jaccard,mean_intersection,n_rows
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,1.0,1.0,1.0,60.0,1
ts_kkt_day_level,ts_kkt_47_11,0.05,bills_items,0.0,0.0,0.0,0.0,1
ts_kkt_day_level,ts_kkt_47_11,0.05,core_daily,0.0,0.0,0.0,0.0,1
ts_kkt_day_level,ts_kkt_47_11,0.05,payment_mix,0.0,0.0,0.0,0.0,1
ts_kkt_day_level,ts_kkt_47_11,0.05,peer_deviation,0.0,0.0,0.0,0.0,1
ts_kkt_day_level,ts_kkt_47_11,0.05,rolling_deviation,0.0,0.0,0.0,0.0,1
ts_kkt_day_level,ts_kkt_47_11,0.05,turnover,0.0,0.0,0.0,0.0,1
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,1.0,1.0,1.0,82.0,1
ts_kkt_day_level,ts_kkt_47_19,0.01,payment_mix,0.0378787878787878,0.0378787878787878,0.0378787878787878,5.0,1
ts_kkt_day_level,ts_kkt_47_19,0.01,core_daily,0.0092592592592592,0.0092592592592592,0.0092592592592592,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.01,peer_deviation,0.009090909090909,0.009090909090909,0.009090909090909,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.01,rolling_deviation,0.0056818181818181,0.0056818181818181,0.0056818181818181,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.01,turnover,0.0056818181818181,0.0056818181818181,0.0056818181818181,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.01,bills_items,0.0,0.0,0.0,0.0,1
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,1.0,1.0,1.0,82.0,1
ts_kkt_day_level,ts_kkt_47_19,0.03,payment_mix,0.0378787878787878,0.0378787878787878,0.0378787878787878,5.0,1
ts_kkt_day_level,ts_kkt_47_19,0.03,core_daily,0.0092592592592592,0.0092592592592592,0.0092592592592592,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.03,peer_deviation,0.009090909090909,0.009090909090909,0.009090909090909,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.03,rolling_deviation,0.0056818181818181,0.0056818181818181,0.0056818181818181,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.03,turnover,0.0056818181818181,0.0056818181818181,0.0056818181818181,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.03,bills_items,0.0,0.0,0.0,0.0,1
ts_kkt_day_level,ts_kkt_47_19,0.05,all_numeric,1.0,1.0,1.0,82.0,1
ts_kkt_day_level,ts_kkt_47_19,0.05,payment_mix,0.0378787878787878,0.0378787878787878,0.0378787878787878,5.0,1
ts_kkt_day_level,ts_kkt_47_19,0.05,core_daily,0.0092592592592592,0.0092592592592592,0.0092592592592592,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.05,peer_deviation,0.009090909090909,0.009090909090909,0.009090909090909,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.05,rolling_deviation,0.0056818181818181,0.0056818181818181,0.0056818181818181,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.05,turnover,0.0056818181818181,0.0056818181818181,0.0056818181818181,1.0,1
ts_kkt_day_level,ts_kkt_47_19,0.05,bills_items,0.0,0.0,0.0,0.0,1
