final_day_rank,kkt_id,date,final_day_anomaly_score,best_day_score,mean_day_score,total_sum,n_bills,total_ecash,ecash_fraction,explanation
11,dc978bcbb6686f0e70c173d2367e131a,2023-12-23,1.0,1.0,1.0,190905.0,2.0,0.0,0.0,min_sum=1822.53; avg_price_piece=440.83; avg_price_item=313.08; avg_cash=159.53; median_sum=149.81; avg_sum=94.72; max_sum=17.28; total_cash=14.21; total_sum=1.52; ecash_fraction=-0.73 || min_sum=1822.53; avg_price_piece=440.83; avg_price_item=313.08; avg_cash=159.53; median_sum=149.81; avg_sum=94.72; max_sum=17.28; total_cash=14.21; total_sum=1.52; ecash_fraction=-0.73 || min_sum=1822.53; avg_price_piece=440.83; avg_price_item=313.08; avg_cash=159.53; median_sum=149.81; avg_sum=94.72; max_sum=17.28; total_cash=14.21; total_sum=1.52; ecash_fraction=-0.73
12,45d3a561ece2a6c6bbfa2712c2ebbf7b,2023-11-24,1.0,1.0,1.0,507018.0,1.0,0.0,0.0,derived_cash_to_ecash=1373346797191168.00; avg_sum__roll7_rel_jump=2332240642048.00; total_sum__roll7_rel_jump=1289292611584.00; max_sum__roll7_rel_jump=1029328404480.00; max_sum__roll7_z=511223463936.00; avg_sum__roll7_z=449759510528.00; total_sum__roll7_z=447934595072.00; n_bills__roll7_rel_jump=2944550.25; total_items__roll7_rel_jump=2611774.50; total_items__roll7_z=885904.00 || derived_cash_to_ecash=1373346797191168.00; avg_sum__roll7_rel_jump=2332240642048.00; total_sum__roll7_rel_jump=1289292611584.00; max_sum__roll7_rel_jump=1029328404480.00; max_sum__roll7_z=511223463936.00; avg_sum__roll7_z=449759510528.00; total_sum__roll7_z=447934595072.00; n_bills__roll7_rel_jump=2944550.25; total_items__roll7_rel_jump=2611774.50; total_items__roll7_z=885904.00 || derived_cash_to_ecash=1373346797191168.00; avg_sum__roll7_rel_jump=2332240642048.00; total_sum__roll7_rel_jump=1289292611584.00; max_sum__roll7_rel_jump=1029328404480.00; max_sum__roll7_z=511223463936.00; avg_sum__roll7_z=449759510528.00; total_sum__roll7_z=447934595072.00; n_bills__roll7_rel_jump=2944550.25; total_items__roll7_rel_jump=2611774.50; total_items__roll7_z=885904.00
13,45d3a561ece2a6c6bbfa2712c2ebbf7b,2023-12-18,1.0,1.0,1.0,2121528.5,3.0,0.0,0.0,derived_cash_to_ecash=5746530413707264.00; total_sum__roll7_rel_jump=5394820759552.00; total_sum__roll14_rel_jump=4584080670720.00; avg_sum__roll7_rel_jump=3252951711744.00; avg_sum__roll14_rel_jump=2889448423424.00; total_sum__roll14_z=1944753405952.00; total_sum__roll7_z=1874304303104.00; max_sum__roll7_rel_jump=1689747456000.00; max_sum__roll14_rel_jump=1591639801856.00; max_sum__roll14_z=913575313408.00 || derived_cash_to_ecash=5746530413707264.00; total_sum__roll7_rel_jump=5394820759552.00; total_sum__roll14_rel_jump=4584080670720.00; avg_sum__roll7_rel_jump=3252951711744.00; avg_sum__roll14_rel_jump=2889448423424.00; total_sum__roll14_z=1944753405952.00; total_sum__roll7_z=1874304303104.00; max_sum__roll7_rel_jump=1689747456000.00; max_sum__roll14_rel_jump=1591639801856.00; max_sum__roll14_z=913575313408.00 || derived_cash_to_ecash=5746530413707264.00; total_sum__roll7_rel_jump=5394820759552.00; total_sum__roll14_rel_jump=4584080670720.00; avg_sum__roll7_rel_jump=3252951711744.00; avg_sum__roll14_rel_jump=2889448423424.00; total_sum__roll14_z=1944753405952.00; total_sum__roll7_z=1874304303104.00; max_sum__roll7_rel_jump=1689747456000.00; max_sum__roll14_rel_jump=1591639801856.00; max_sum__roll14_z=913575313408.00
14,dc978bcbb6686f0e70c173d2367e131a,2023-12-24,1.0,1.0,1.0,192010.0,2.0,0.0,0.0,min_sum=1831.18; avg_price_piece=443.38; avg_price_item=314.89; avg_cash=160.45; median_sum=150.68; avg_sum=95.27; max_sum=17.40; total_cash=14.29; total_sum=1.53; ecash_fraction=-0.73 || min_sum=1831.18; avg_price_piece=443.38; avg_price_item=314.89; avg_cash=160.45; median_sum=150.68; avg_sum=95.27; max_sum=17.40; total_cash=14.29; total_sum=1.53; ecash_fraction=-0.73 || min_sum=1831.18; avg_price_piece=443.38; avg_price_item=314.89; avg_cash=160.45; median_sum=150.68; avg_sum=95.27; max_sum=17.40; total_cash=14.29; total_sum=1.53; ecash_fraction=-0.73
15,dc978bcbb6686f0e70c173d2367e131a,2023-12-25,1.0,1.0,1.0,731597.3,11.0,0.0,0.0,avg_price_piece=259.72; avg_price_item=184.44; min_sum=117.03; avg_cash=111.16; std_sum=106.74; avg_sum=65.85; max_sum=56.73; total_cash=54.46; median_sum=46.80; total_sum=6.64 || avg_price_piece=259.72; avg_price_item=184.44; min_sum=117.03; avg_cash=111.16; std_sum=106.74; avg_sum=65.85; max_sum=56.73; total_cash=54.46; median_sum=46.80; total_sum=6.64 || avg_price_piece=259.72; avg_price_item=184.44; min_sum=117.03; avg_cash=111.16; std_sum=106.74; avg_sum=65.85; max_sum=56.73; total_cash=54.46; median_sum=46.80; total_sum=6.64
16,45e5aa18457c4ff667a7f7d9b8f36220,2023-11-15,1.0,1.0,1.0,3950.0,1.0,3950.0,1.0,avg_sum__roll7_rel_jump=18169673728.00; total_sum__roll7_rel_jump=10044429312.00; max_sum__roll7_rel_jump=8019138560.00; max_sum__roll7_z=3982763520.00; avg_sum__roll7_z=3503919360.00; total_sum__roll7_z=3489702144.00; ecash_fraction__roll7_rel_jump=57157688.00; total_items__roll7_rel_jump=7835323.50; ecash_fraction__roll7_z=3677066.00; n_bills__roll7_rel_jump=2944550.25 || avg_sum__roll7_rel_jump=18169673728.00; total_sum__roll7_rel_jump=10044429312.00; max_sum__roll7_rel_jump=8019138560.00; max_sum__roll7_z=3982763520.00; avg_sum__roll7_z=3503919360.00; total_sum__roll7_z=3489702144.00; ecash_fraction__roll7_rel_jump=57157688.00; total_items__roll7_rel_jump=7835323.50; ecash_fraction__roll7_z=3677066.00; n_bills__roll7_rel_jump=2944550.25 || avg_sum__roll7_rel_jump=18169673728.00; total_sum__roll7_rel_jump=10044429312.00; max_sum__roll7_rel_jump=8019138560.00; max_sum__roll7_z=3982763520.00; avg_sum__roll7_z=3503919360.00; total_sum__roll7_z=3489702144.00; ecash_fraction__roll7_rel_jump=57157688.00; total_items__roll7_rel_jump=7835323.50; ecash_fraction__roll7_z=3677066.00; n_bills__roll7_rel_jump=2944550.25
17,45a3ab369ac1c47f08a70f5273766ed4,2023-12-11,1.0,1.0,1.0,108000.0,1.0,108000.0,1.0,avg_sum__roll7_rel_jump=496791060480.00; total_sum__roll7_rel_jump=274632474624.00; max_sum__roll7_rel_jump=219257454592.00; max_sum__roll7_z=108895813632.00; avg_sum__roll7_z=95803367424.00; total_sum__roll7_z=95414640640.00; ecash_fraction__roll7_rel_jump=57157688.00; ecash_fraction__roll7_z=3677066.00; n_bills__roll7_rel_jump=2944550.25; total_items__roll7_rel_jump=2611774.50 || avg_sum__roll7_rel_jump=496791060480.00; total_sum__roll7_rel_jump=274632474624.00; max_sum__roll7_rel_jump=219257454592.00; max_sum__roll7_z=108895813632.00; avg_sum__roll7_z=95803367424.00; total_sum__roll7_z=95414640640.00; ecash_fraction__roll7_rel_jump=57157688.00; ecash_fraction__roll7_z=3677066.00; n_bills__roll7_rel_jump=2944550.25; total_items__roll7_rel_jump=2611774.50 || avg_sum__roll7_rel_jump=496791060480.00; total_sum__roll7_rel_jump=274632474624.00; max_sum__roll7_rel_jump=219257454592.00; max_sum__roll7_z=108895813632.00; avg_sum__roll7_z=95803367424.00; total_sum__roll7_z=95414640640.00; ecash_fraction__roll7_rel_jump=57157688.00; ecash_fraction__roll7_z=3677066.00; n_bills__roll7_rel_jump=2944550.25; total_items__roll7_rel_jump=2611774.50
18,dc978bcbb6686f0e70c173d2367e131a,2023-12-27,1.0,1.0,1.0,93950.0,1.0,0.0,0.0,min_sum=1806.57; avg_price_piece=433.88; avg_price_item=308.14; avg_cash=157.02; median_sum=147.45; avg_sum=93.22; max_sum=16.88; total_cash=6.99; ecash_fraction=-0.73; ecash_bills_fraction=-0.70 || min_sum=1806.57; avg_price_piece=433.88; avg_price_item=308.14; avg_cash=157.02; median_sum=147.45; avg_sum=93.22; max_sum=16.88; total_cash=6.99; ecash_fraction=-0.73; ecash_bills_fraction=-0.70 || min_sum=1806.57; avg_price_piece=433.88; avg_price_item=308.14; avg_cash=157.02; median_sum=147.45; avg_sum=93.22; max_sum=16.88; total_cash=6.99; ecash_fraction=-0.73; ecash_bills_fraction=-0.70
19,45ee27f146c174804341e168e18ef967,2023-12-12,1.0,1.0,1.0,79821.02,188.0,79821.02,1.0,total_sum__roll7_rel_jump=202976346112.00; total_sum__roll7_z=70519390208.00; max_sum__roll7_rel_jump=4226877696.00; total_items__roll7_rel_jump=2126684416.00; max_sum__roll7_z=2099309696.00; avg_sum__roll7_rel_jump=1953032320.00; total_items__roll7_z=721363264.00; n_bills__roll7_rel_jump=553575488.00; avg_sum__roll7_z=376631328.00; n_bills__roll7_z=165000800.00 || total_sum__roll7_rel_jump=202976346112.00; total_sum__roll7_z=70519390208.00; max_sum__roll7_rel_jump=4226877696.00; total_items__roll7_rel_jump=2126684416.00; max_sum__roll7_z=2099309696.00; avg_sum__roll7_rel_jump=1953032320.00; total_items__roll7_z=721363264.00; n_bills__roll7_rel_jump=553575488.00; avg_sum__roll7_z=376631328.00; n_bills__roll7_z=165000800.00 || total_sum__roll7_rel_jump=202976346112.00; total_sum__roll7_z=70519390208.00; max_sum__roll7_rel_jump=4226877696.00; total_items__roll7_rel_jump=2126684416.00; max_sum__roll7_z=2099309696.00; avg_sum__roll7_rel_jump=1953032320.00; total_items__roll7_z=721363264.00; n_bills__roll7_rel_jump=553575488.00; avg_sum__roll7_z=376631328.00; n_bills__roll7_z=165000800.00
20,45f2004405f95a06a785e2d66d660cc1,2023-10-02,1.0,1.0,1.0,91950.0,1.0,0.0,0.0,derived_cash_to_ecash=249062620135424.00; min_sum=1768.11; derived_sum_per_item=424.63; avg_price_piece=424.63; avg_price_item=301.58; avg_cash=153.68; median_sum=144.30; avg_sum__peer_date_robust_z=101.07; avg_sum=91.23; derived_sum_per_bill=91.23 || derived_cash_to_ecash=249062620135424.00; min_sum=1768.11; derived_sum_per_item=424.63; avg_price_piece=424.63; avg_price_item=301.58; avg_cash=153.68; median_sum=144.30; avg_sum__peer_date_robust_z=101.07; avg_sum=91.23; derived_sum_per_bill=91.23 || derived_cash_to_ecash=249062620135424.00; min_sum=1768.11; derived_sum_per_item=424.63; avg_price_piece=424.63; avg_price_item=301.58; avg_cash=153.68; median_sum=144.30; avg_sum__peer_date_robust_z=101.07; avg_sum=91.23; derived_sum_per_bill=91.23
