kkt_id,ts_final_score,ts_best_device_score,ts_mean_device_score,ts_max_daily_score,ts_total_anomaly_days,ts_total_days,ts_n_appearances
800065ec054bba34d4ef073e09e77af8,1.0,1.0,0.7834550482986822,1.0,1264,92,21
d526fa56440d20a31d722cfd2a29d96e,1.0,1.0,0.9214611609365312,1.0,1194,92,21
edaa203e45d35c46f8caeeb8f5dafdf5,1.0,1.0,0.8157537848285027,1.0,1071,92,21
eda52b6b8a1df4761050ae10a1c2d75c,1.0,1.0,0.9067974722283354,1.0,679,92,21
ed910dc58be23f111117a2a51b1dc4db,1.0,1.0,0.7796170962343257,1.0,1290,92,21
d507e331e6a1e84bb318541fa1ceb9c6,1.0,1.0,0.8381183179863146,1.0,857,92,21
65cacba6df500ba0bccda9b6b13741e3,1.0,1.0,0.7593362867664519,1.0,1333,92,21
2276781a97e635c10e4fbb62e73c5196,1.0,1.0,0.93991753692795,1.0,798,92,21
9a1bc487497d28b46b5f51caea8914c3,1.0,1.0,0.8263646406903555,1.0,738,92,21
65944cc53c8153c0391d165b3b2b11cb,1.0,1.0,0.944994655862557,1.0,809,92,21
6580053ed2b3d2b488dc8ec37eb3d14e,1.0,1.0,0.8822182138074911,1.0,1314,92,21
849c53735ba8e2bae58ba6720df36893,1.0,1.0,0.8685729061168912,1.0,814,92,21
ecffc92362dfb76df21d0f18c9da3f7d,1.0,1.0,0.9348084114718406,1.0,1386,92,21
d54e9d416408fce33d2a96acc3b81a37,1.0,1.0,0.7714564868705455,1.0,1091,92,21
4338a14f481fde0b77de558e47f9dc3b,1.0,1.0,0.9178359759298604,1.0,1369,92,21
0333d89b5529df20c6601b7581bc3a32,1.0,1.0,0.8097353387705982,1.0,1079,92,21
0334b4dcfdf369ea0761d6440600619d,1.0,1.0,0.925985048083362,1.0,831,92,21
99daab95353cdc00acbf0beda084cfeb,1.0,1.0,0.8081647422211324,1.0,974,92,21
435f30a7c2f7ef41650c1f1fbbf4bd22,1.0,1.0,0.7764147721610609,1.0,1346,92,21
d58bd79770fbbd6cf852b71c62e78dd1,1.0,1.0,0.8324771960351581,1.0,939,92,21
427c05539da343a22472e45e5b7e72a3,1.0,1.0,0.9102066702725414,1.0,688,92,21
b64c973a496c4d96d7af3dd14ac2bbd5,1.0,1.0,0.7807822343901683,1.0,1306,92,21
d593657579f429284c20c6ffceb43837,1.0,1.0,0.8424527590494993,1.0,1430,92,21
9bf4d46d7f61b3a7d454b577e10911b1,1.0,1.0,0.8856636493360842,1.0,683,92,21
69b29c29c0d0c905a9f9191f0ad4c421,1.0,1.0,0.9295640056384924,1.0,748,92,21
9ca46656bd4a68b46569a0592d8b6fb0,1.0,1.0,0.9613127763962686,1.0,1046,92,21
698774214e407820de54fb928ca8611b,1.0,1.0,0.7839398754259932,1.0,968,92,21
9c5001d20c876e1073048113a09caaca,1.0,1.0,0.8665185958263922,1.0,816,92,21
697cea5d7612d395eef6b980cfab9251,1.0,1.0,0.8422710258965402,1.0,1149,92,21
ef96b4d754257c0b2db9de165bbcda39,1.0,1.0,0.8960586789414674,1.0,814,92,21
9c1b04c4b0cdcdf922b9bd1ccc1136ac,1.0,1.0,0.8169361658934994,1.0,747,92,21
d3c90bbaf02a018ac6f96c6f68575c37,1.0,1.0,0.9253694884024122,1.0,1342,92,21
41213e155eb42ff47a8ee97c435f85b7,1.0,1.0,0.9698095094852311,1.0,905,92,21
4225ad0ebf51a404a77ff1cf6724ac52,1.0,1.0,0.9320598038511572,1.0,1306,92,21
4150e8980d200cb2375837cbfb1d5433,1.0,1.0,0.9421645538908902,1.0,889,92,21
68cbc72d958ca6f3fbd8fe55f703c63a,1.0,1.0,0.9734937692305012,1.0,1117,92,21
eee8aa2b055d79cf96b41ab629aca765,1.0,1.0,0.8855392264226367,1.0,771,92,21
847fecdfacb77efc88379847b85413ca,1.0,1.0,0.8921697764961155,1.0,1022,92,21
9ae8441a3d4c485a3f69473bbd199f57,1.0,1.0,0.8901753822236768,1.0,855,92,21
d4a5092957407c9f28fd6c98a1355de4,1.0,1.0,0.8124608228403003,1.0,834,92,21
9aa5e2e11e1eac64fd237e143b2eeb84,1.0,1.0,0.9239583430767708,1.0,1019,92,21
9a8c3424be179dc8ae32c781a473a256,1.0,1.0,0.9069721027260664,1.0,1032,92,21
43897c52c5ad841628e8dc66ce294561,1.0,1.0,0.8810424563360425,1.0,1004,92,21
034062b5b53440d26ccb8fe9a68cca09,1.0,1.0,0.8898257049613703,1.0,1053,92,21
69d5b6de0583db4e4f7adb2a289d5115,1.0,1.0,0.916249351411144,1.0,709,92,21
d7151872b4ddab10030d0ed5a9ef05e4,1.0,1.0,0.8814233054769958,1.0,934,92,21
d6e8c04b557fce975f30f3a00dd28ac7,1.0,1.0,0.7932005744209172,1.0,1472,92,21
99399be9dc9b613d22e98abd058f1b0a,1.0,1.0,0.9255199722302596,1.0,1145,92,21
993846279f7b91fa1e71388baef47d99,1.0,1.0,0.8763113847091747,1.0,1287,92,21
6397e3c2d55478f4284bc39a53d0f982,1.0,1.0,0.9605253870421132,1.0,904,92,21
ea3f744f1eed409b500cc705ada2e2c3,1.0,1.0,0.8020538170931433,1.0,853,92,21
d6febad69309be4a747a30637502c2bd,1.0,1.0,0.7569429716640401,1.0,1323,92,21
1c5073f129528ee4a2536e39b2db3cb6,1.0,1.0,0.7758087602691442,1.0,1333,92,21
45a4636a7e169b66ee4cfe13a5a501f6,1.0,1.0,0.8896216807881164,1.0,1323,92,21
866d09319a4d0a7c5541633a80dc9fd7,1.0,1.0,0.794486325527427,1.0,813,92,21
21f56b784215b3997d66cbf0339b3823,1.0,1.0,0.9653689644705312,1.0,965,92,21
21d13fdc0ae3c43680a4a32e5cb9243a,1.0,1.0,0.7649417915336588,1.0,1250,92,21
b84210a575d15979767e7d846e6cb4cf,1.0,1.0,0.8758553338786534,1.0,738,92,21
e94ad292b34cd72896d770559e921ac6,1.0,1.0,0.9578371802961496,1.0,1050,92,21
d741093cefed28990c2db07b25312a4b,1.0,1.0,0.8747547576620647,1.0,764,92,21
468a1c96cb58e6418598073f80d9c930,1.0,1.0,0.929460888316552,1.0,1387,92,21
2195c3be3107f3f5dea469a690706da0,1.0,1.0,0.8020895325616125,1.0,1508,92,21
d76b8e151b3d41782ef72fd181969c89,1.0,1.0,0.7533317469321537,1.0,1299,92,21
216f2800d94f69c219596f20854eb5f1,1.0,1.0,0.9756691262985752,1.0,1216,92,21
b7eebecf8167f8edeceb61a2186e5bf2,1.0,1.0,0.8156472341133929,1.0,1257,92,21
456adcff77fc874ef2b684d00585219f,1.0,1.0,0.8606568698168289,1.0,691,92,21
64e6c48d24197f80e103e9d1e90b1765,1.0,1.0,0.8915158080515327,1.0,671,92,21
44cc235bfc18397a05e6294ec755df0e,1.0,1.0,0.8803812088342245,1.0,1182,92,21
43b33f129895e79b9bd2e5b9f4a2358c,1.0,1.0,0.8650281425611835,1.0,715,92,21
223db8025ebd2c5e756a1fe83e0c676c,1.0,1.0,0.8978446842274399,1.0,1122,92,21
d6057ff221d08e8839b15766457e82aa,1.0,1.0,0.80783088700381,1.0,930,92,21
643d1dbc5d0c39138d58106ff17c6206,1.0,1.0,0.9467446606888734,1.0,1234,92,21
b767a5b8b7ebb9fa2ffc059cd80f0696,1.0,1.0,0.8473695553363197,1.0,764,92,21
