file,path,stage,dataset,group,contamination,status,error,n_rows,n_devices,n_features,n_top_anomalies,n_top_anomaly_days,top_score,median_score,runtime_sec,ranked_csv,top_csv,device_csv,created_at
agg__agg_kkt_47_11_all_numeric_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_all_numeric_contam_0.01.json,agg_kkt_level,agg_kkt_47_11,all_numeric,0.01,ok,,34443,,150,345.0,,1.0,0.15977277936290846,21.924367427825928,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.01__top_anomalies.csv,,2026-05-17 16:05:18
agg__agg_kkt_47_11_all_numeric_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_all_numeric_contam_0.03.json,agg_kkt_level,agg_kkt_47_11,all_numeric,0.03,ok,,34443,,150,1034.0,,1.0,0.15977277936290846,18.555602073669434,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.03__top_anomalies.csv,,2026-05-17 16:05:36
agg__agg_kkt_47_11_all_numeric_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_all_numeric_contam_0.05.json,agg_kkt_level,agg_kkt_47_11,all_numeric,0.05,ok,,34443,,150,1723.0,,1.0,0.15977277936290848,19.88470149040222,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.05__top_anomalies.csv,,2026-05-17 16:05:56
agg__agg_kkt_47_11_benford_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_benford_contam_0.01.json,agg_kkt_level,agg_kkt_47_11,benford,0.01,ok,,34443,,1,345.0,,1.0,0.1417658861533795,12.57786250114441,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.01__top_anomalies.csv,,2026-05-18 07:55:04
agg__agg_kkt_47_11_benford_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_benford_contam_0.03.json,agg_kkt_level,agg_kkt_47_11,benford,0.03,ok,,34443,,1,1034.0,,1.0,0.1417658861533795,11.839292049407959,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.03__top_anomalies.csv,,2026-05-18 07:55:16
agg__agg_kkt_47_11_benford_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_benford_contam_0.05.json,agg_kkt_level,agg_kkt_47_11,benford,0.05,ok,,34443,,1,1723.0,,1.0,0.1417658861533795,12.089233875274658,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.05__top_anomalies.csv,,2026-05-18 07:55:28
agg__agg_kkt_47_11_bills_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_bills_contam_0.01.json,agg_kkt_level,agg_kkt_47_11,bills,0.01,ok,,34443,,11,345.0,,1.0,0.1583436768859586,24.62763214111328,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.01__top_anomalies.csv,,2026-05-17 16:07:50
agg__agg_kkt_47_11_bills_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_bills_contam_0.03.json,agg_kkt_level,agg_kkt_47_11,bills,0.03,ok,,34443,,11,1034.0,,1.0,0.1583436768859585,26.645548820495605,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.03__top_anomalies.csv,,2026-05-17 16:08:17
agg__agg_kkt_47_11_bills_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_bills_contam_0.05.json,agg_kkt_level,agg_kkt_47_11,bills,0.05,ok,,34443,,11,1723.0,,1.0,0.1583436768859585,26.97125005722046,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.05__top_anomalies.csv,,2026-05-17 16:08:44
agg__agg_kkt_47_11_cross_corr_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_cross_corr_contam_0.01.json,agg_kkt_level,agg_kkt_47_11,cross_corr,0.01,ok,,34443,,14,345.0,,1.0,0.16684427046350253,30.18132972717285,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.01__top_anomalies.csv,,2026-05-18 07:55:58
