final_rank,kkt_id,final_kkt_anomaly_score,best_score,mean_score,ts_final_score,ts_total_anomaly_days,ts_total_days,explanation
11,050325f979665d30eecf86d46bc06ef1,1.0,1.0,1.0,1.0,1247,92,"min_sum__mean=586.68; avg_price_piece__standard_deviation=448.52; avg_price_piece__mean=401.20; avg_price_item__standard_deviation=371.10; min_sum__fft_coefficient__attr_""abs""__coeff_1=355.21; avg_price_item__mean=345.79; min_sum__standard_deviation=312.82; min_sum__maximum=142.83; median_sum__standard_deviation=142.45; median_sum__mean=126.08 || min_sum__mean=586.68; avg_price_piece__standard_deviation=448.52; avg_price_piece__mean=401.20; avg_price_item__standard_deviation=371.10; min_sum__fft_coefficient__attr_""abs""__coeff_1=355.21; avg_price_item__mean=345.79; min_sum__standard_deviation=312.82; min_sum__maximum=142.83; median_sum__standard_deviation=142.45; median_sum__mean=126.08 || min_sum__mean=586.68; avg_price_piece__standard_deviation=448.52; avg_price_piece__mean=401.20; avg_price_item__standard_deviation=371.10; min_sum__fft_coefficient__attr_""abs""__coeff_1=355.21; avg_price_item__mean=345.79; min_sum__standard_deviation=312.82; min_sum__maximum=142.83; median_sum__standard_deviation=142.45; median_sum__mean=126.08"
12,c514a329aa86df774d008ef9bdbb224f,1.0,1.0,1.0,1.0,727,92,"total_ecash__standard_deviation=76.92; total_ecash__sum_values=26.54; ecash_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=18.53; avg_ecash__standard_deviation=6.80; ecash_fraction__longest_strike_below_mean=4.70; ecash_fraction__longest_strike_above_mean=1.87; avg_ecash__mean=1.58; ecash_fraction__standard_deviation=1.51; ecash_fraction__value_count__value_1=0.87; ecash_fraction__count_above__t_0.99=0.81 || total_ecash__standard_deviation=76.92; total_ecash__sum_values=26.54; ecash_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=18.53; avg_ecash__standard_deviation=6.80; ecash_fraction__longest_strike_below_mean=4.70; ecash_fraction__longest_strike_above_mean=1.87; avg_ecash__mean=1.58; ecash_fraction__standard_deviation=1.51; ecash_fraction__value_count__value_1=0.87; ecash_fraction__count_above__t_0.99=0.81 || total_ecash__standard_deviation=76.92; total_ecash__sum_values=26.54; ecash_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=18.53; avg_ecash__standard_deviation=6.80; ecash_fraction__longest_strike_below_mean=4.70; ecash_fraction__longest_strike_above_mean=1.87; avg_ecash__mean=1.58; ecash_fraction__standard_deviation=1.51; ecash_fraction__value_count__value_1=0.87; ecash_fraction__count_above__t_0.99=0.81"
13,7abbbc289df6d7c025e5f8ba93edfd00,1.0,1.0,1.0,0.9458045210443744,476,92,avg_price_piece__standard_deviation=167.24; avg_price_item__standard_deviation=138.33; avg_price_piece__mean=66.98; avg_price_item__mean=57.65; n_items__standard_deviation=-0.39; total_items__standard_deviation=-0.38; n_items__mean=-0.34; total_items__mean=-0.34 || avg_price_piece__standard_deviation=167.24; avg_price_item__standard_deviation=138.33; avg_price_piece__mean=66.98; avg_price_item__mean=57.65; n_items__standard_deviation=-0.39; total_items__standard_deviation=-0.38; n_items__mean=-0.34; total_items__mean=-0.34 || avg_price_piece__standard_deviation=167.24; avg_price_item__standard_deviation=138.33; avg_price_piece__mean=66.98; avg_price_item__mean=57.65; n_items__standard_deviation=-0.39; total_items__standard_deviation=-0.38; n_items__mean=-0.34; total_items__mean=-0.34
14,1c923e81f8f8dd7a8ae15297c4925618,1.0,1.0,0.99150117350644,0.9501052969100884,533,92,"min_sum__maximum=374.55; min_sum__standard_deviation=246.78; min_sum__fft_coefficient__attr_""abs""__coeff_1=207.57; median_sum__standard_deviation=134.05; avg_sum__standard_deviation=100.63; min_sum__mean=34.78; max_sum__maximum=27.19; max_sum__standard_deviation=17.55; n_kkt_id=14.12; total_sum__fft_coefficient__attr_""abs""__coeff_2=12.50 || min_sum__maximum=374.55; min_sum__standard_deviation=246.78; min_sum__fft_coefficient__attr_""abs""__coeff_1=207.57; median_sum__standard_deviation=134.05; avg_sum__standard_deviation=100.63; min_sum__mean=34.78; max_sum__maximum=27.19; max_sum__standard_deviation=17.55; n_kkt_id=14.12; total_sum__fft_coefficient__attr_""abs""__coeff_2=12.50 || min_sum__maximum=374.55; min_sum__standard_deviation=246.78; min_sum__fft_coefficient__attr_""abs""__coeff_1=207.57; median_sum__standard_deviation=134.05; avg_sum__standard_deviation=100.63; min_sum__mean=34.78; max_sum__maximum=27.19; max_sum__standard_deviation=17.55; n_kkt_id=14.12; total_sum__fft_coefficient__attr_""abs""__coeff_2=12.50"
15,866d09319a4d0a7c5541633a80dc9fd7,1.0,1.0,1.0,1.0,813,92,"total_ecash__standard_deviation=43.22; ecash_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=-24.49; total_ecash__sum_values=19.44; avg_ecash__standard_deviation=5.96; ecash_fraction__longest_strike_above_mean=3.33; ecash_fraction__longest_strike_below_mean=2.90; avg_ecash__mean=2.32; ecash_fraction__standard_deviation=1.47; ecash_fraction__value_count__value_1=1.24; ecash_fraction__count_above__t_0.99=1.17 || total_ecash__standard_deviation=43.22; ecash_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=-24.49; total_ecash__sum_values=19.44; avg_ecash__standard_deviation=5.96; ecash_fraction__longest_strike_above_mean=3.33; ecash_fraction__longest_strike_below_mean=2.90; avg_ecash__mean=2.32; ecash_fraction__standard_deviation=1.47; ecash_fraction__value_count__value_1=1.24; ecash_fraction__count_above__t_0.99=1.17 || total_ecash__standard_deviation=43.22; ecash_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=-24.49; total_ecash__sum_values=19.44; avg_ecash__standard_deviation=5.96; ecash_fraction__longest_strike_above_mean=3.33; ecash_fraction__longest_strike_below_mean=2.90; avg_ecash__mean=2.32; ecash_fraction__standard_deviation=1.47; ecash_fraction__value_count__value_1=1.24; ecash_fraction__count_above__t_0.99=1.17"
16,216f2800d94f69c219596f20854eb5f1,1.0,1.0,1.0,1.0,1216,92,"avg_price_piece__standard_deviation=838.42; avg_price_item__standard_deviation=693.73; min_sum__maximum=440.00; min_sum__standard_deviation=356.99; avg_price_piece__mean=356.08; avg_price_item__mean=306.89; min_sum__fft_coefficient__attr_""abs""__coeff_1=303.66; std_sum__standard_deviation=298.28; avg_sum__standard_deviation=194.13; min_sum__mean=175.02 || avg_price_piece__standard_deviation=838.42; avg_price_item__standard_deviation=693.73; min_sum__maximum=440.00; min_sum__standard_deviation=356.99; avg_price_piece__mean=356.08; avg_price_item__mean=306.89; min_sum__fft_coefficient__attr_""abs""__coeff_1=303.66; std_sum__standard_deviation=298.28; avg_sum__standard_deviation=194.13; min_sum__mean=175.02 || avg_price_piece__standard_deviation=838.42; avg_price_item__standard_deviation=693.73; min_sum__maximum=440.00; min_sum__standard_deviation=356.99; avg_price_piece__mean=356.08; avg_price_item__mean=306.89; min_sum__fft_coefficient__attr_""abs""__coeff_1=303.66; std_sum__standard_deviation=298.28; avg_sum__standard_deviation=194.13; min_sum__mean=175.02"
17,b54394a0aecb86d27e7dd22a0c21c952,1.0,1.0,1.0,0.9960375974923584,990,92,"total_sum__minimum=77.75; total_sum__fft_coefficient__attr_""abs""__coeff_2=42.69; total_sum__fft_coefficient__attr_""abs""__coeff_1=26.39; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=-22.56; total_sum__median=21.74; total_sum__mean=20.00; total_sum__sum_values=20.00; total_sum__maximum=18.77; n_kkt_id=18.62; total_sum__standard_deviation=18.58 || total_sum__minimum=77.75; total_sum__fft_coefficient__attr_""abs""__coeff_2=42.69; total_sum__fft_coefficient__attr_""abs""__coeff_1=26.39; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=-22.56; total_sum__median=21.74; total_sum__mean=20.00; total_sum__sum_values=20.00; total_sum__maximum=18.77; n_kkt_id=18.62; total_sum__standard_deviation=18.58 || total_sum__minimum=77.75; total_sum__fft_coefficient__attr_""abs""__coeff_2=42.69; total_sum__fft_coefficient__attr_""abs""__coeff_1=26.39; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=-22.56; total_sum__median=21.74; total_sum__mean=20.00; total_sum__sum_values=20.00; total_sum__maximum=18.77; n_kkt_id=18.62; total_sum__standard_deviation=18.58"
18,69b29c29c0d0c905a9f9191f0ad4c421,1.0,1.0,1.0,1.0,748,92,"min_sum__maximum=453.42; min_sum__standard_deviation=362.96; min_sum__fft_coefficient__attr_""abs""__coeff_1=323.90; min_sum__mean=218.25; median_sum__standard_deviation=174.25; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=151.29; avg_sum__standard_deviation=129.63; std_sum__standard_deviation=80.88; median_sum__mean=57.19; avg_sum__mean=38.04 || min_sum__maximum=453.42; min_sum__standard_deviation=362.96; min_sum__fft_coefficient__attr_""abs""__coeff_1=323.90; min_sum__mean=218.25; median_sum__standard_deviation=174.25; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=151.29; avg_sum__standard_deviation=129.63; std_sum__standard_deviation=80.88; median_sum__mean=57.19; avg_sum__mean=38.04 || min_sum__maximum=453.42; min_sum__standard_deviation=362.96; min_sum__fft_coefficient__attr_""abs""__coeff_1=323.90; min_sum__mean=218.25; median_sum__standard_deviation=174.25; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=151.29; avg_sum__standard_deviation=129.63; std_sum__standard_deviation=80.88; median_sum__mean=57.19; avg_sum__mean=38.04"
19,e3061e33074af2221c545e62c1594309,1.0,1.0,1.0,0.9462983261800462,564,92,avg_price_piece__standard_deviation=137.33; avg_price_item__standard_deviation=111.04; avg_price_item__mean=58.53; avg_price_piece__mean=47.48; n_items__standard_deviation=-0.39; total_items__standard_deviation=-0.37; n_items__mean=-0.34; total_items__mean=-0.33 || avg_price_piece__standard_deviation=137.33; avg_price_item__standard_deviation=111.04; avg_price_item__mean=58.53; avg_price_piece__mean=47.48; n_items__standard_deviation=-0.39; total_items__standard_deviation=-0.37; n_items__mean=-0.34; total_items__mean=-0.33 || avg_price_piece__standard_deviation=137.33; avg_price_item__standard_deviation=111.04; avg_price_item__mean=58.53; avg_price_piece__mean=47.48; n_items__standard_deviation=-0.39; total_items__standard_deviation=-0.37; n_items__mean=-0.34; total_items__mean=-0.33
20,468a1c96cb58e6418598073f80d9c930,1.0,1.0,1.0,1.0,1387,92,"min_sum__mean=144.21; avg_price_piece__mean=105.49; min_sum__fft_coefficient__attr_""abs""__coeff_1=104.52; avg_ecash__mean=93.50; min_sum__standard_deviation=86.60; median_sum__mean=77.12; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=71.06; avg_price_item__mean=68.48; avg_ecash__standard_deviation=67.62; avg_sum__mean=62.15 || min_sum__mean=144.21; avg_price_piece__mean=105.49; min_sum__fft_coefficient__attr_""abs""__coeff_1=104.52; avg_ecash__mean=93.50; min_sum__standard_deviation=86.60; median_sum__mean=77.12; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=71.06; avg_price_item__mean=68.48; avg_ecash__standard_deviation=67.62; avg_sum__mean=62.15 || min_sum__mean=144.21; avg_price_piece__mean=105.49; min_sum__fft_coefficient__attr_""abs""__coeff_1=104.52; avg_ecash__mean=93.50; min_sum__standard_deviation=86.60; median_sum__mean=77.12; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=71.06; avg_price_item__mean=68.48; avg_ecash__standard_deviation=67.62; avg_sum__mean=62.15"
21,c67d058f9b46b0b8cdeab5d9aa3bb7c3,1.0,1.0,1.0,0.98592772998883,617,92,"avg_price_piece__standard_deviation=657.94; min_sum__maximum=656.77; avg_price_item__standard_deviation=581.03; min_sum__standard_deviation=506.73; min_sum__fft_coefficient__attr_""abs""__coeff_1=441.04; median_sum__standard_deviation=206.12; avg_sum__standard_deviation=162.70; min_sum__mean=145.62; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=124.07; avg_price_item__mean=117.76 || avg_price_piece__standard_deviation=657.94; min_sum__maximum=656.77; avg_price_item__standard_deviation=581.03; min_sum__standard_deviation=506.73; min_sum__fft_coefficient__attr_""abs""__coeff_1=441.04; median_sum__standard_deviation=206.12; avg_sum__standard_deviation=162.70; min_sum__mean=145.62; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=124.07; avg_price_item__mean=117.76 || avg_price_piece__standard_deviation=657.94; min_sum__maximum=656.77; avg_price_item__standard_deviation=581.03; min_sum__standard_deviation=506.73; min_sum__fft_coefficient__attr_""abs""__coeff_1=441.04; median_sum__standard_deviation=206.12; avg_sum__standard_deviation=162.70; min_sum__mean=145.62; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=124.07; avg_price_item__mean=117.76"
22,37bf6e02802f9dfbe0ab60214cef4c32,1.0,1.0,1.0,1.0,885,92,"avg_price_piece__standard_deviation=375.25; avg_price_item__standard_deviation=310.46; avg_price_piece__mean=231.73; min_sum__fft_coefficient__attr_""abs""__coeff_1=224.57; min_sum__standard_deviation=205.08; avg_price_item__mean=199.68; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=166.72; min_sum__maximum=166.06; min_sum__mean=133.79; median_sum__standard_deviation=129.29 || avg_price_piece__standard_deviation=375.25; avg_price_item__standard_deviation=310.46; avg_price_piece__mean=231.73; min_sum__fft_coefficient__attr_""abs""__coeff_1=224.57; min_sum__standard_deviation=205.08; avg_price_item__mean=199.68; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=166.72; min_sum__maximum=166.06; min_sum__mean=133.79; median_sum__standard_deviation=129.29 || avg_price_piece__standard_deviation=375.25; avg_price_item__standard_deviation=310.46; avg_price_piece__mean=231.73; min_sum__fft_coefficient__attr_""abs""__coeff_1=224.57; min_sum__standard_deviation=205.08; avg_price_item__mean=199.68; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=166.72; min_sum__maximum=166.06; min_sum__mean=133.79; median_sum__standard_deviation=129.29"
23,c655896a52d9aa7f4e276bea7879dd77,1.0,1.0,1.0,1.0,1632,92,"avg_price_piece__standard_deviation=604.80; avg_price_piece__mean=561.73; min_sum__mean=519.04; avg_price_item__standard_deviation=503.44; avg_price_item__mean=497.71; min_sum__fft_coefficient__attr_""abs""__coeff_1=293.91; min_sum__standard_deviation=283.79; min_sum__maximum=244.80; median_sum__mean=196.17; std_sum__standard_deviation=173.61 || avg_price_piece__standard_deviation=604.80; avg_price_piece__mean=561.73; min_sum__mean=519.04; avg_price_item__standard_deviation=503.44; avg_price_item__mean=497.71; min_sum__fft_coefficient__attr_""abs""__coeff_1=293.91; min_sum__standard_deviation=283.79; min_sum__maximum=244.80; median_sum__mean=196.17; std_sum__standard_deviation=173.61 || avg_price_piece__standard_deviation=604.80; avg_price_piece__mean=561.73; min_sum__mean=519.04; avg_price_item__standard_deviation=503.44; avg_price_item__mean=497.71; min_sum__fft_coefficient__attr_""abs""__coeff_1=293.91; min_sum__standard_deviation=283.79; min_sum__maximum=244.80; median_sum__mean=196.17; std_sum__standard_deviation=173.61"
